eta normalized_eta response N_samps  AV_response, AV_normalized_response
0.008 0.016 0.025171515679544308 8.86e7 1.7751822917578357 0.4437955729394589
0.016 0.032 0.0495202636626394 1.096e8 1.714967146148798 0.4287417865371995
0.024 0.048 0.07452838085898643 1.09e8 1.748781178200525 0.43719529455013123
0.032 0.064 0.09935108180778493 8.89e7 1.7697061823831837 0.4424265455957959
0.04 0.08 0.12406438614426503 8.85e7 1.6780840887916428 0.4195210221979107
0.048 0.096 0.14883597540914562 1.096e8 1.758224293947864 0.439556073486966
0.056 0.112 0.17359596322870602 8.86e7 1.7946891291572533 0.44867228228931333
0.064 0.128 0.19823573324622154 8.85e7 1.7803861111592232 0.4450965277898058
0.072 0.144 0.22287588676901038 8.95e7 1.8551508228223683 0.4637877057055921
0.08 0.16 0.24777148604050164 9.21e7 1.8144242336755851 0.4536060584188963
0.16 0.32 0.4921659533389719 9.26e7 2.1294333726360657 0.5323583431590164
0.24 0.48 0.7322658313316496 9.27e7 2.0146094235643917 0.5036523558910979
0.32 0.64 0.9664176730237274 9.26e7 2.1489362943829056 0.5372340735957264
0.4 0.8 1.1959354538332514 9.32e7 2.5603434693075977 0.6400858673268994
0.48 0.96 1.4213980169963916 9.33e7 2.718757575459807 0.6796893938649518
0.56 1.12 1.642949651468031 9.03e7 2.7886627614618678 0.6971656903654669
0.64 1.28 1.861414738724019 9.3e7 3.000009243483282 0.7500023108708205
0.72 1.44 2.077904030335778 9.31e7 3.1229413744086063 0.7807353436021516
0.8 1.6 2.292156659739377 9.29e7 3.371943481135179 0.8429858702837948
1.5 3.0 4.14885149976479 3.06e7 6.164105092665946 1.5410262731664865
2.0 4.0 5.510085594599707 3.08e7 8.684128144334851 2.1710320360837128
2.5 5.0 6.93423682696706 3.1e7 13.8605255990934 3.46513139977335
3.0 6.0 8.440900333551735 3.04e7 20.07341914621592 5.01835478655398
3.5 7.0 10.04002322804786 3.1e7 32.17887605720282 8.044719014300705
4.0 8.0 11.748410517795522 3.09e7 43.21969950134825 10.804924875337063
4.5 9.0 13.58250836117067 3.09e7 60.83332189362475 15.208330473406187
5.0 10.0 15.559928292292794 3.05e7 88.35547093962492 22.08886773490623
